         91927 function calls (91832 primitive calls) in 6.235 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       42    0.000    0.000    0.003    0.000 re.py:232(compile)
      4/3    0.000    0.000    0.006    0.002 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
        2    0.000    0.000    0.001    0.000 cookiejar.py:933(set_ok)
        2    0.000    0.000    0.000    0.000 {built-in method _openssl.SSL_new}
       14    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 response.py:193(__init__)
       20    0.000    0.000    0.309    0.015 response.py:543(stream)
       78    0.000    0.000    0.000    0.000 extensions.py:1217(<genexpr>)
       11    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
        1    0.000    0.000    0.002    0.002 decode_asn1.py:436(_decode_subject_alt_name)
        5    0.000    0.000    0.000    0.000 client.py:1185(putheader)
       50    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
   110/91    0.000    0.000    0.000    0.000 abc.py:141(__subclasscheck__)
      4/3    0.000    0.000    0.005    0.002 <frozen importlib._bootstrap_external>:722(exec_module)
       24    0.000    0.000    0.000    0.000 structures.py:53(__getitem__)
        2    0.000    0.000    0.000    0.000 cookiejar.py:142(_str2time)
        2    0.000    0.000    0.001    0.001 cookiejar.py:1587(make_cookies)
        1    0.000    0.000    0.000    0.000 makefile.py:14(backport_makefile)
        1    0.000    0.000    0.000    0.000 {built-in method today}
        7    0.000    0.000    0.000    0.000 element.py:1820(__init__)
       23    0.000    0.000    0.000    0.000 queue.py:14(_qsize)
        4    0.000    0.000    0.000    0.000 message.py:497(get_all)
        1    0.000    0.000    0.000    0.000 poolmanager.py:68(_default_key_normalizer)
       10    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    1.086    1.086 api.py:64(get)
        7    0.000    0.000    0.001    0.000 sessions.py:50(merge_setting)
        2    0.000    0.000    0.000    0.000 cookiejar.py:747(__init__)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1344(add_cookie_header)
       22    0.000    0.000    0.000    0.000 enum.py:526(__new__)
        3    0.000    0.000    0.000    0.000 sre_compile.py:536(_compile_info)
        2    0.000    0.000    0.001    0.000 SSL.py:1094(set_verify)
       42    0.000    0.000    0.000    0.000 _util.py:72(native)
        1    0.000    0.000    0.000    0.000 connectionpool.py:167(__init__)
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
        3    0.000    0.000    0.310    0.103 models.py:816(content)
        2    0.000    0.000    0.000    0.000 SSL.py:308(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
       75    0.000    0.000    0.000    0.000 element.py:1291(get)
        1    0.000    0.000    0.000    0.000 decode_asn1.py:533(_decode_dist_points)
        1    0.000    0.000    0.002    0.002 ssl_.py:220(create_urllib3_context)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
        1    0.000    0.000    0.000    0.000 sessions.py:362(__init__)
        5    0.000    0.000    0.001    0.000 structures.py:42(__init__)
       19    0.000    0.000    0.000    0.000 feedparser.py:78(readline)
        1    0.000    0.000    0.552    0.552 client.py:256(_read_status)
        1    0.000    0.000    0.001    0.001 models.py:356(prepare_url)
        1    0.000    0.000    0.000    0.000 socket.py:412(_real_close)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
        2    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        2    0.000    0.000    0.003    0.001 adapters.py:319(close)
        1    0.000    0.000    0.003    0.003 socket.py:731(getaddrinfo)
        1    0.000    0.000    0.000    0.000 connectionpool.py:950(_new_conn)
        3    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        1    0.000    0.000    0.001    0.001 shlex.py:1(<module>)
       43    0.000    0.000    0.000    0.000 {built-in method _openssl.SSL_get_cipher_list}
       31    0.000    0.000    0.000    0.000 _oid.py:43(__eq__)
        1    0.000    0.000    0.004    0.004 utils.py:169(get_netrc_auth)
       43    0.000    0.000    0.000    0.000 enum.py:628(value)
        3    0.000    0.000    0.001    0.000 sre_parse.py:919(parse)
        3    0.000    0.000    0.000    0.000 posixpath.py:232(expanduser)
        1    0.000    0.000    0.000    0.000 __init__.py:48(lookup)
